,Employee_ID,Date_of_Joining,Gender,Company_Type,WFH_Setup_Available,Designation,Resource_Allocation,Mental_Fatigue_Score,Burn_Rate
2400,fffe32003500380031003900,2008-05-11,Male,Product,Yes,2.0,4.0,6.3,0.45
16643,fffe32003900380037003100,2008-09-28,Male,Service,No,1.0,4.0,4.2,0.31
13710,fffe32003500350030003100,2008-12-24,Male,Product,Yes,3.0,6.0,8.4,0.66
15971,fffe32003600310038003400,2008-05-05,Female,Service,Yes,2.0,5.0,4.8,0.4
21370,fffe3900350034003400,2008-01-18,Female,Product,Yes,3.0,4.0,5.2,0.41
20538,fffe32003800300031003300,2008-01-07,Female,Product,No,1.0,4.0,4.4,0.3
17844,fffe32003200350031003500,2008-01-23,Male,Service,No,3.0,5.0,7.1,0.48
9323,fffe32003200350035003300,2008-12-22,Female,Service,No,4.0,6.0,7.4,0.52
4471,fffe31003500360036003500,2008-04-02,Female,Product,Yes,1.0,2.0,3.8,0.15
11749,fffe32003400350035003900,2008-03-25,Female,Service,No,1.0,2.0,5.5,0.49
19198,fffe32003500330032003800,2008-12-09,Female,Product,Yes,0.0,2.0,2.7,0.14
20086,fffe31003900320038003000,2008-06-05,Female,Service,Yes,1.0,3.0,4.7,0.41
9026,fffe3700360034003900,2008-04-28,Female,Product,Yes,2.0,2.0,3.5,0.29
22161,fffe31003800350034003800,2008-03-01,Female,Service,Yes,3.0,5.0,5.3,0.33
10312,fffe390031003400,2008-06-04,Female,Service,Yes,1.0,2.0,4.2,0.29
22521,fffe32003300380039003200,2008-06-07,Male,Product,No,3.0,5.0,7.4,0.53
20135,fffe31003000330030003100,2008-09-09,Female,Service,No,2.0,5.0,7.5,0.63
12069,fffe32003800390033003200,2008-12-13,Female,Service,Yes,1.0,3.0,4.7,0.29
1587,fffe32003500340038003300,2008-11-24,Female,Service,No,2.0,4.0,5.8,0.47
19095,fffe31003300330033003300,2008-11-23,Female,Service,Yes,2.0,4.0,6.1,0.38
21077,fffe3200320035003600,2008-02-05,Female,Product,Yes,2.0,4.0,4.7,0.35
22336,fffe33003000300038003300,2008-05-13,Male,Service,No,2.0,5.0,6.0,0.52
18911,fffe3300320039003200,2008-07-09,Male,Product,Yes,2.0,5.0,5.6,0.41
21058,fffe32003600340039003500,2008-01-20,Female,Service,Yes,1.0,3.0,4.3,0.32
13441,fffe32003500360032003100,2008-02-27,Female,Service,No,0.0,1.0,1.3,0.03
10724,fffe3300380039003200,2008-04-26,Female,Product,Yes,1.0,1.0,3.8,0.18
11486,fffe31003300340039003400,2008-10-16,Male,Product,No,3.0,6.0,6.7,0.64
16057,fffe31003300390038003300,2008-01-20,Male,Service,Yes,1.0,1.0,2.1,0.17
9720,fffe31003900330031003600,2008-09-19,Male,Product,No,3.0,8.0,8.2,0.72
775,fffe3600310035003300,2008-05-17,Female,Product,Yes,1.0,2.0,4.2,0.25
14161,fffe31003900360037003700,2008-03-17,Female,Service,Yes,2.0,5.0,7.9,0.65
